"title"	"code"	"type"	"last update of data"	"last table structure change"	"data start"	"data end"	"values"
"                    Population by age group"	"tps00010"	"table"	"14.10.2025"	"10.02.2025"	"2013"	"2024"	3241
"                    Population structure by detailed age group"	"eq_pop03"	"table"	"14.10.2025"	"10.02.2025"	"2013"	"2024"	2693
"                    Population structure by sex"	"eq_pop02"	"table"	"14.10.2025"	"10.02.2025"	"2013"	"2024"	549
"                    Old-age-dependency ratio"	"tps00198"	"table"	"14.10.2025"	"10.02.2025"	"2013"	"2024"	544
"                Population structure indicators by NUTS 2 region"	"demo_r_pjanind2"	"dataset"	"09.10.2025"	"13.02.2025"	"1990"	"2024"	715764
"                Population structure indicators by NUTS 3 region"	"demo_r_pjanind3"	"dataset"	"09.10.2025"	"14.02.2025"	"2014"	"2024"	1026383
"                Population density by NUTS 3 region"	"demo_r_d3dens"	"dataset"	"02.04.2025"	"02.04.2025"	"1990"	"2023"	55417
"                    Population density"	"tps00003"	"table"	"02.04.2025"	"02.04.2025"	"2012"	"2023"	441
"                    Population density by NUTS 2 region"	"tgs00024"	"table"	"02.04.2025"	"02.04.2025"	"2012"	"2023"	3715
"                Area by NUTS 3 region"	"demo_r_d3area"	"dataset"	"25.08.2020"	"10.01.2024"	"1990"	"2015"	70822
"            Population (national level)"	"demo_pop"	"folder"	" "	" "	" "	" "	
"                Population on 1 January by age and sex"	"demo_pjan"	"dataset"	"14.10.2025"	"10.02.2025"	"1960"	"2024"	733845
"                Population on 1 January by age group and sex"	"demo_pjangroup"	"dataset"	"14.10.2025"	"10.02.2025"	"1960"	"2024"	165950
"                Population on 1 January by broad age group and sex"	"demo_pjanbroad"	"dataset"	"14.10.2025"	"10.02.2025"	"1960"	"2024"	39131
"                Population on 1 January by age, sex and educational attainment level"	"demo_pjanedu"	"dataset"	"30.09.2025"	"30.09.2025"	"2007"	"2024"	246010
"                Population on 1 January by age, sex and legal marital status"	"demo_pjanmarsta"	"dataset"	"30.09.2025"	"30.09.2025"	"1960"	"2024"	1081524
"                Population on 1 January by age, sex and broad group of citizenship"	"migr_pop2ctz"	"dataset"	"14.10.2025"	"20.05.2025"	"1998"	"2024"	666997
"                Population on 1 January by age group, sex and citizenship"	"migr_pop1ctz"	"dataset"	"14.10.2025"	"20.05.2025"	"1998"	"2024"	8374751
"                    Population without the citizenship of the reporting country"	"tps00157"	"table"	"14.10.2025"	"20.05.2025"	"2013"	"2024"	392
"                Population on 1 January by age group, sex and country of birth"	"migr_pop3ctb"	"dataset"	"14.10.2025"	"06.03.2025"	"1998"	"2024"	6657789
"                    Foreign-born population"	"tps00178"	"table"	"14.10.2025"	"06.03.2025"	"2013"	"2024"	391
"                    Youth population on 1 January by sex, age and country of birth"	"yth_demo_060"	"table"	"14.10.2025"	"06.03.2025"	"1998"	"2024"	1198998
"                Population on 1 January by age, sex and group of country of birth"	"migr_pop4ctb"	"dataset"	"14.10.2025"	"13.02.2025"	"1998"	"2024"	644342
"                Population on 1 January by sex, citizenship and group of country of birth"	"migr_pop5ctz"	"dataset"	"14.10.2025"	"20.05.2025"	"2009"	"2024"	366817
"                Population on 1 January by sex, country of birth and group of citizenship"	"migr_pop6ctb"	"dataset"	"14.10.2025"	"20.05.2025"	"2009"	"2024"	361547
"                Population on 1 January by age group, sex and level of human development of the country of citizenship"	"migr_pop7ctz"	"dataset"	"14.10.2025"	"20.05.2025"	"2014"	"2024"	378453
"                Population on 1 January by age group, sex and level of human development of the country of birth"	"migr_pop8ctb"	"dataset"	"14.10.2025"	"13.02.2025"	"2014"	"2024"	344903
"                EU and EFTA citizens who are usual residents in another EU/EFTA country as of 1 January"	"migr_pop9ctz"	"dataset"	"06.05.2025"	"10.02.2025"	"2015"	"2024"	538178
"                Usually resident population on 1 January"	"demo_urespop"	"dataset"	"08.10.2025"	"08.10.2025"	"2014"	"2025"	357
"                Persons eligible to vote in the 2024 European Parliament elections by category of voters - dedicated data collection"	"demo_popep"	"dataset"	"02.08.2024"	"04.04.2024"	"2024"	"2024"	50
"            Population (regional level)"	"demopreg"	"folder"	" "	" "	" "	" "	
"                Population on 1 January by age, sex and NUTS 2 region"	"demo_r_d2jan"	"dataset"	"14.10.2025"	"13.02.2025"	"1990"	"2024"	4542548
"                    Population on 1 January by NUTS 2 region"	"tgs00096"	"table"	"14.10.2025"	"13.02.2025"	"2013"	"2024"	3834
"                Population on 1 January by age group, sex and NUTS 2 region"	"demo_r_pjangroup"	"dataset"	"14.10.2025"	"13.02.2025"	"1990"	"2024"	998725
"                Population on 1 January by age group, sex and NUTS 3 region"	"demo_r_pjangrp3"	"dataset"	"14.10.2025"	"14.02.2025"	"2014"	"2024"	1381181
"                Population on 1 January by broad age group, sex and NUTS 3 region"	"demo_r_pjanaggr3"	"dataset"	"14.10.2025"	"14.02.2025"	"1990"	"2024"	708607
"            Fertility (national level)"	"demo_fer"	"folder"	" "	" "	" "	" "	
"                Fertility indicators"	"demo_find"	"dataset"	"01.10.2025"	"04.03.2025"	"1960"	"2023"	17571
"                    Mean age of women at childbirth and at birth of first child"	"tps00017"	"table"	"01.10.2025"	"04.03.2025"	"2012"	"2023"	997
"                    Total fertility rate"	"tps00199"	"table"	"01.10.2025"	"04.03.2025"	"2012"	"2023"	515
"                Fertility rates by age"	"demo_frate"	"dataset"	"01.10.2025"	"04.03.2025"	"1960"	"2023"	91723
"                Live births (total) by month"	"demo_fmonth"	"dataset"	"15.05.2025"	"07.03.2025"	"1960"	"2024"	30531
"                Live births by mother's age and newborn's sex"	"demo_fasec"	"dataset"	"18.03.2025"	"04.03.2025"	"2007"	"2023"	112973
"                Live births by mother's age and birth order"	"demo_fordagec"	"dataset"	"01.04.2025"	"04.03.2025"	"1960"	"2023"	327640
"                Live births by mother's year of birth (age reached) and birth order"	"demo_fordager"	"dataset"	"01.04.2025"	"04.03.2025"	"1960"	"2023"	320276
"                Live births by mother's age and legal marital status"	"demo_fagec"	"dataset"	"13.05.2025"	"04.03.2025"	"1960"	"2023"	307404
"                Live births by mother's year of birth (age reached) and legal marital status"	"demo_fager"	"dataset"	"13.05.2025"	"04.03.2025"	"1960"	"2023"	279324
"                Live births by mother's age and educational attainment level"	"demo_faeduc"	"dataset"	"18.03.2025"	"04.03.2025"	"2007"	"2023"	79529
"                Live births by mother's age and activity status"	"demo_faemplc"	"dataset"	"18.03.2025"	"04.03.2025"	"2007"	"2023"	51718
"                Live births by mother's age and citizenship"	"demo_faczc"	"dataset"	"25.08.2025"	"04.03.2025"	"2007"	"2023"	184588
"                Live births by mother's age and country of birth"	"demo_facbc"	"dataset"	"16.09.2025"	"04.03.2025"	"2007"	"2023"	145474
"                Live births by birth weight and duration of gestation"	"demo_fweight"	"dataset"	"18.03.2025"	"04.03.2025"	"2013"	"2023"	60735
"                Abortion indicators"	"demo_fabortind"	"dataset"	"08.05.2025"	"08.05.2025"	"2013"	"2023"	501
"                Legally induced abortions by mother's age"	"demo_fabort"	"dataset"	"21.03.2025"	"21.03.2025"	"1960"	"2023"	7991
"                Legally induced abortions by mother's age and number of previous live births"	"demo_fabortord"	"dataset"	"21.03.2025"	"21.03.2025"	"2007"	"2023"	24496
"            Fertility (regional level)"	"demofreg"	"folder"	" "	" "	" "	" "	
"                Fertility indicators by NUTS 2 region"	"demo_r_find2"	"dataset"	"01.10.2025"	"04.03.2025"	"1990"	"2023"	39407
"                Fertility indicators by NUTS 3 region"	"demo_r_find3"	"dataset"	"01.10.2025"	"07.03.2025"	"2013"	"2023"	59418
"                Fertility rates by age and NUTS 2 region"	"demo_r_frate2"	"dataset"	"01.10.2025"	"03.07.2025"	"1990"	"2023"	476278
"                    Total fertility rate by NUTS 2 region"	"tgs00100"	"table"	"01.10.2025"	"03.07.2025"	"2012"	"2023"	3618
"                Live births by mother's age and NUTS 2 region"	"demo_r_fagec"	"dataset"	"01.04.2025"	"04.03.2025"	"1990"	"2023"	525487
"                Live births (total) by NUTS 3 region"	"demo_r_births"	"dataset"	"01.04.2025"	"07.03.2025"	"1990"	"2023"	58272
"                Live births by age group of the mothers and NUTS 3 region"	"demo_r_fagec3"	"dataset"	"07.03.2025"	"07.03.2025"	"2013"	"2023"	242464
"            Mortality (national level)"	"demo_mor"	"folder"	" "	" "	" "	" "	
"                Excess mortality by month"	"demo_mexrt"	"dataset"	"16.09.2025"	"16.09.2025"	"2020-01"	"2025-06"	2107
"                Life table by age and sex"	"demo_mlifetable"	"dataset"	"05.06.2025"	"03.03.2025"	"1960"	"2023"	3548475
"                Life expectancy by age and sex"	"demo_mlexpec"	"dataset"	"11.09.2025"	"11.09.2025"	"1960"	"2024"	499421
"                    Life expectancy at birth by sex"	"tps00205"	"table"	"11.09.2025"	"11.09.2025"	"2013"	"2024"	1453
"                Life expectancy by age, sex and educational attainment level"	"demo_mlexpecedu"	"dataset"	"08.02.2023"	"03.01.2024"	"2007"	"2017"	178536
"                Deaths (total) by month"	"demo_mmonth"	"dataset"	"14.10.2025"	"13.10.2025"	"1960"	"2024"	28836
"                Deaths by age and sex"	"demo_magec"	"dataset"	"14.10.2025"	"13.10.2025"	"1960"	"2023"	649876
"                Deaths by year of birth (age reached) and sex"	"demo_mager"	"dataset"	"14.10.2025"	"13.10.2025"	"1960"	"2023"	543583
"                Deaths by age, sex and educational attainment level"	"demo_maeduc"	"dataset"	"14.10.2025"	"13.10.2025"	"2007"	"2023"	600382
"                Deaths by age, sex and legal marital status"	"demo_marstac"	"dataset"	"14.10.2025"	"13.10.2025"	"2007"	"2023"	748661
"                Deaths by age, sex and citizenship"	"demo_maczc"	"dataset"	"14.10.2025"	"13.10.2025"	"2007"	"2023"	1218034
"                Deaths by age, sex and country of birth"	"demo_macbc"	"dataset"	"14.10.2025"	"13.10.2025"	"2007"	"2023"	950675
"                Infant mortality rates"	"demo_minfind"	"dataset"	"17.07.2025"	"11.03.2025"	"1960"	"2023"	11023
"                    Infant mortality rate"	"tps00027"	"table"	"17.07.2025"	"11.03.2025"	"2012"	"2023"	525
"                Infant mortality"	"demo_minf"	"dataset"	"17.07.2025"	"28.03.2025"	"1960"	"2023"	11244
"                Infant mortality by age and sex"	"demo_minfs"	"dataset"	"17.07.2025"	"28.03.2025"	"2007"	"2023"	12052
"                Infant mortality by mother's educational attainment level (ISCED11f) and father's educational attainment level (ISCED11)"	"demo_minfedu"	"dataset"	"17.07.2025"	"11.03.2025"	"2013"	"2023"	2460
"                Late foetal deaths by mother's age"	"demo_mfoet"	"dataset"	"16.07.2025"	"03.04.2025"	"2007"	"2023"	5365
"            Mortality (regional level)"	"demomreg"	"folder"	" "	" "	" "	" "	
"                Life table by age, sex and NUTS 2 region"	"demo_r_mlife"	"dataset"	"05.06.2025"	"14.03.2025"	"1990"	"2023"	25935289
"                Life expectancy by age, sex and NUTS 2 region"	"demo_r_mlifexp"	"dataset"	"05.06.2025"	"14.03.2025"	"1990"	"2023"	3330143
"                    Life expectancy at birth by sex and NUTS 2 region"	"tgs00101"	"table"	"05.06.2025"	"14.03.2025"	"2012"	"2023"	10776
"                Deaths by age, sex and NUTS 2 region"	"demo_r_magec"	"dataset"	"14.10.2025"	"13.03.2025"	"1990"	"2023"	4100463
"                Deaths (total) by NUTS 3 region"	"demo_r_deaths"	"dataset"	"14.10.2025"	"14.10.2025"	"1990"	"2023"	58344
"                Deaths by age group, sex and NUTS 3 region"	"demo_r_magec3"	"dataset"	"14.10.2025"	"14.03.2025"	"2013"	"2023"	1190564
"                Infant mortality rates by NUTS 2 region"	"demo_r_minfind"	"dataset"	"17.07.2025"	"13.03.2025"	"1990"	"2023"	13189
"                Infant mortality by NUTS 2 region"	"demo_r_minf"	"dataset"	"14.10.2025"	"14.10.2025"	"1990"	"2023"	12562
"            Deaths by week - special data collection"	"demomwk"	"folder"	" "	" "	" "	" "	
"                Deaths by week and sex"	"demo_r_mwk_ts"	"dataset"	"23.10.2025"	"22.10.2025"	"2000-W01"	"2025-W40"	122549
"                Deaths by week, sex and 20-year age group"	"demo_r_mwk_20"	"dataset"	"23.10.2025"	"22.10.2025"	"2000-W01"	"2025-W40"	821784
"                Deaths by week, sex and 10-year age group"	"demo_r_mwk_10"	"dataset"	"23.10.2025"	"22.10.2025"	"2000-W01"	"2025-W40"	1519555
"                Deaths by week, sex and 5-year age group"	"demo_r_mwk_05"	"dataset"	"23.10.2025"	"22.10.2025"	"2000-W01"	"2025-W40"	2442418
"                Deaths by week, sex and NUTS 2 region"	"demo_r_mwk2_ts"	"dataset"	"23.10.2025"	"22.10.2025"	"2000-W01"	"2025-W40"	1172260
"                Deaths by week, sex, 20-year age group and NUTS 2 region"	"demo_r_mwk2_20"	"dataset"	"23.10.2025"	"22.10.2025"	"2000-W01"	"2025-W40"	8009835
"                Deaths by week, sex, 10-year age group and NUTS 2 region"	"demo_r_mwk2_10"	"dataset"	"23.10.2025"	"22.10.2025"	"2000-W01"	"2025-W40"	14866745
"                Deaths by week, sex, 5-year age group and NUTS 2 region"	"demo_r_mwk2_05"	"dataset"	"23.10.2025"	"22.10.2025"	"2000-W01"	"2025-W40"	24012350
"                Deaths by week and NUTS 3 region"	"demo_r_mwk3_t"	"dataset"	"23.10.2025"	"22.10.2025"	"2000-W01"	"2025-W40"	1303916
"                Deaths by week, sex and NUTS 3 region"	"demo_r_mwk3_ts"	"dataset"	"23.10.2025"	"22.10.2025"	"2000-W01"	"2025-W40"	3868618
"                Deaths by week, sex, 20-year age group and NUTS 3 region"	"demo_r_mwk3_20"	"dataset"	"23.10.2025"	"22.10.2025"	"2000-W01"	"2025-W40"	26851774
"                Deaths by week, sex, 10-year age group and NUTS 3 region"	"demo_r_mwk3_10"	"dataset"	"23.10.2025"	"22.10.2025"	"2000-W01"	"2025-W40"	49834324
"                Deaths by week, sex, 5-year age group and NUTS 3 region"	"demo_r_mweek3"	"dataset"	"23.10.2025"	"22.10.2025"	"2000-W01"	"2025-W40"	80468472
"            Marriages"	"demo_nup"	"folder"	" "	" "	" "	" "	
"                Marriage indicators"	"demo_nind"	"dataset"	"09.07.2025"	"21.03.2025"	"1960"	"2023"	13191
"                    Crude marriage rate"	"tps00206"	"table"	"09.07.2025"	"21.03.2025"	"2012"	"2023"	478
"                    Mean age at first marriage by sex"	"tps00014"	"table"	"09.07.2025"	"21.03.2025"	"2012"	"2023"	710
"                Marriages by sex and previous marital status"	"demo_nmsta"	"dataset"	"09.07.2025"	"21.03.2025"	"1960"	"2023"	17434
"                Marriages by previous legal union status of bride and groom"	"demo_nmsta2"	"dataset"	"09.07.2025"	"09.07.2025"	"2013"	"2023"	10505
"                First-time marrying persons by age and sex"	"demo_nsinagec"	"dataset"	"13.06.2025"	"21.03.2025"	"1990"	"2023"	147547
"                First marriage rates by age and sex"	"demo_nsinrt"	"dataset"	"13.06.2025"	"21.03.2025"	"1990"	"2023"	124391
"                Marriages by citizenship of bride and groom"	"demo_marcz"	"dataset"	"09.07.2025"	"09.07.2025"	"2012"	"2023"	16492
"                Marriages by country of birth of bride and groom"	"demo_marcb"	"dataset"	"09.07.2025"	"09.07.2025"	"2012"	"2023"	8797
"            Divorces"	"demo_div"	"folder"	" "	" "	" "	" "	
"                Divorce indicators"	"demo_ndivind"	"dataset"	"09.04.2025"	"21.03.2025"	"1960"	"2023"	7385
"                    Crude divorce rate"	"tps00216"	"table"	"09.04.2025"	"21.03.2025"	"2012"	"2023"	448
"                Divorces by duration of marriage (reached during the year)"	"demo_ndivdur"	"dataset"	"09.04.2025"	"21.03.2025"	"1990"	"2023"	51169
"                Divorces by citizenship of wife and husband"	"demo_divcz"	"dataset"	"09.04.2025"	"03.04.2025"	"2012"	"2023"	13066
"                Divorces by country of birth of wife and husband"	"demo_divcb"	"dataset"	"09.04.2025"	"03.04.2025"	"2012"	"2023"	5972
"        Population projections"	"proj"	"folder"	" "	" "	" "	" "	
"            EUROPOP2023 - Population projections at national level (2022-2100)"	"proj_23n"	"folder"	" "	" "	" "	" "	
"                Population on 1st January by age, sex and type of projection"	"proj_23np"	"dataset"	"28.06.2023"	"03.01.2024"	"2022"	"2100"	5005440
"                Assumptions for fertility rates by age and type of projection"	"proj_23naasfr"	"dataset"	"24.05.2023"	"03.01.2024"	"2022"	"2100"	180120
"                Assumptions for mortality rates by age, sex and type of projection"	"proj_23naasmr"	"dataset"	"24.05.2023"	"03.01.2024"	"2022"	"2100"	957480
"                Projected life expectancy by age (in completed years), sex and type of projection"	"proj_23nalexp"	"dataset"	"24.05.2023"	"03.01.2024"	"2022"	"2100"	957480
"                Assumptions for net migration by age, sex and type of projection"	"proj_23nanmig"	"dataset"	"24.05.2023"	"03.01.2024"	"2022"	"2100"	2175660
"                Demographic balances and indicators by type of projection"	"proj_23ndbi"	"dataset"	"24.05.2023"	"14.04.2025"	"2022"	"2100"	303360
"                Short-term population projections (2023-2050)"	"proj_stp24"	"dataset"	"10.10.2024"	"10.10.2024"	"2023"	"2050"	13272
"                Short-term population projections (2024-2050)"	"proj_stp25"	"dataset"	"21.05.2025"	"21.05.2025"	"2024"	"2050"	12798
"            EUROPOP2019 - Population projections at national level (2019-2100)"	"proj_19n"	"folder"	" "	" "	" "	" "	
"                Population on 1st January by age, sex and type of projection"	"proj_19np"	"dataset"	"28.08.2023"	"03.01.2024"	"2019"	"2100"	5219136
"                Assumptions for fertility rates by age and type of projection"	"proj_19naasfr"	"dataset"	"20.07.2020"	"03.01.2024"	"2019"	"2100"	193192
"                Assumptions for probability of dying by age, sex and type of projection"	"proj_19naasmr"	"dataset"	"20.07.2020"	"03.01.2024"	"2019"	"2100"	1010404
"                Assumptions for net migration by age, sex and type of projection"	"proj_19nanmig"	"dataset"	"14.07.2020"	"03.01.2024"	"2019"	"2100"	2333556
"                Projected life expectancy by age (in completed years), sex and type of projection"	"proj_19nalexp"	"dataset"	"14.01.2021"	"03.01.2024"	"2019"	"2100"	810324
"                Demographic balances and indicators by type of projection"	"proj_19ndbi"	"dataset"	"28.08.2023"	"21.12.2023"	"2019"	"2100"	318488
"                Short-term update of the projected population (2022-2032)"	"proj_stp22"	"dataset"	"28.08.2023"	"08.01.2024"	"2019"	"2032"	4410
"            EUROPOP2019 - Population projections at regional level (2019-2100)"	"proj_19r"	"folder"	" "	" "	" "	" "	
"                Population on 1st January by age, sex, type of projection and NUTS 3 region"	"proj_19rp3"	"dataset"	"23.04.2021"	"10.01.2024"	"2019"	"2100"	91535616
"                Assumptions for fertility rates by age, type of projection and NUTS 3 region"	"proj_19raasfr3"	"dataset"	"16.11.2020"	"10.01.2024"	"2019"	"2100"	3789056
"                Assumptions for probability of dying by age, sex, type of projection and NUTS 3 region"	"proj_19raasmr3"	"dataset"	"16.11.2020"	"10.01.2024"	"2019"	"2100"	20141824
"                Assumptions for net migration by age, sex, type of projection and NUTS 3 region"	"proj_19ranmig3"	"dataset"	"06.05.2021"	"10.01.2024"	"2019"	"2100"	30511872
"                Projected deaths by age, sex, type of projection and NUTS 3 region"	"proj_19rdth3"	"dataset"	"28.04.2021"	"10.01.2024"	"2019"	"2100"	30511872
"                Projected life expectancy by age (reached during the year), sex, type of projection and NUTS 3 region"	"proj_19ralexp3"	"dataset"	"09.03.2021"	"10.01.2024"	"2019"	"2100"	20141824
"                Demographic balances and indicators by type of projection and NUTS 3 region"	"proj_19rdbi3"	"dataset"	"19.05.2021"	"14.04.2025"	"2019"	"2100"	5783296
"        Migration"	"migr"	"folder"	" "	" "	" "	" "	
"            International migration, citizenship"	"migr_cit"	"folder"	" "	" "	" "	" "	
"                Migrant population indicators"	"migr_ind"	"folder"	" "	" "	" "	" "	
"                    Proportion of population by age group, sex and citizenship"	"demo_poppcctz"	"dataset"	"30.09.2025"	"20.02.2025"	"2021"	"2024"	47763
"                    Proportion of population by age group, sex and country of birth"	"demo_poppcctb"	"dataset"	"30.09.2025"	"20.02.2025"	"2021"	"2024"	35620
"                    Median age of residents by sex and citizenship"	"demo_popmdctz"	"dataset"	"30.09.2025"	"20.02.2025"	"2021"	"2024"	1350
"                    Median age of residents by sex and country of birth"	"demo_popmdctb"	"dataset"	"30.09.2025"	"20.02.2025"	"2021"	"2024"	1350
"                    Net migration by age and sex"	"migr_netmigr"	"dataset"	"22.07.2025"	"10.04.2025"	"2013"	"2023"	135212
"                Immigration"	"migr_immi"	"folder"	" "	" "	" "	" "	
"                    Immigration by age and sex"	"migr_imm8"	"dataset"	"22.07.2025"	"10.04.2025"	"1990"	"2023"	301326
"                    Immigration by age group, sex and citizenship"	"migr_imm1ctz"	"dataset"	"22.07.2025"	"10.04.2025"	"1998"	"2023"	11610255
"                        Immigration"	"tps00176"	"table"	"22.07.2025"	"10.04.2025"	"2012"	"2023"	846
"                    Immigration by age group, sex and country of birth"	"migr_imm3ctb"	"dataset"	"22.07.2025"	"10.04.2025"	"2008"	"2023"	9446440
"                        Young immigrants by sex, age and country of birth"	"yth_demo_070"	"table"	"22.07.2025"	"10.04.2025"	"2008"	"2023"	3283446
"                    Immigration by age, sex and group of citizenship"	"migr_imm2ctz"	"dataset"	"22.07.2025"	"10.04.2025"	"1998"	"2023"	904583
"                    Immigration by age, sex and group of country of birth"	"migr_imm4ctb"	"dataset"	"22.07.2025"	"10.04.2025"	"2008"	"2023"	848148
"                    Immigration by sex, citizenship and group of country of birth"	"migr_imm6ctz"	"dataset"	"22.07.2025"	"10.04.2025"	"2008"	"2023"	403209
"                    Immigration by sex, country of birth and group of citizenship"	"migr_imm7ctb"	"dataset"	"22.07.2025"	"10.04.2025"	"2008"	"2023"	412729
"                    Immigration by age group, sex and country of previous residence"	"migr_imm5prv"	"dataset"	"22.07.2025"	"10.04.2025"	"1998"	"2023"	9419345
"                    Immigration by age group, sex and level of human development of the country of citizenship"	"migr_imm9ctz"	"dataset"	"22.07.2025"	"10.04.2025"	"2013"	"2023"	577016
"                    Immigration by age group, sex and level of human development of the country of birth"	"migr_imm10ctb"	"dataset"	"22.07.2025"	"10.04.2025"	"2013"	"2023"	514369
"                    Immigration by age group, sex and level of human development of the country of previous residence"	"migr_imm11prv"	"dataset"	"22.07.2025"	"22.07.2025"	"2013"	"2023"	460054
"                    Immigration by broad group of country of previous residence"	"migr_imm12prv"	"dataset"	"22.07.2025"	"10.04.2025"	"2013"	"2023"	1442
"                    Immigration by age group, sex, group of citizenship and group of country of previous residence - ad hoc data collection (2015-2020)"	"migr_immctzprv"	"dataset"	"19.12.2022"	"28.11.2023"	"2015"	"2020"	33358
"                Emigration"	"migr_emi"	"folder"	" "	" "	" "	" "	
"                    Emigration by age and sex"	"migr_emi2"	"dataset"	"22.07.2025"	"10.04.2025"	"1990"	"2023"	274550
"                    Emigration by age group, sex and citizenship"	"migr_emi1ctz"	"dataset"	"22.07.2025"	"10.04.2025"	"1998"	"2023"	11431558
"                        Emigration"	"tps00177"	"table"	"22.07.2025"	"10.04.2025"	"2012"	"2023"	828
"                    Emigration by age group, sex and country of birth"	"migr_emi4ctb"	"dataset"	"22.07.2025"	"10.04.2025"	"2008"	"2023"	8519860
"                        Young emigrants by sex, age and country of birth"	"yth_demo_080"	"table"	"22.07.2025"	"10.04.2025"	"2008"	"2023"	2989519
"                    Emigration by age group, sex and country of next usual residence"	"migr_emi3nxt"	"dataset"	"22.07.2025"	"10.04.2025"	"1998"	"2023"	8881609
"                    Emigration by group of country of next usual residence"	"migr_emi5nxt"	"dataset"	"22.07.2025"	"10.04.2025"	"2013"	"2023"	1430
"                    Emigration by age group, sex, group of citizenship and group of country of next residence - ad hoc data collection (2015-2020)"	"migr_emictznxt"	"dataset"	"19.12.2022"	"08.01.2024"	"2015"	"2020"	30924
"                Acquisition and loss of citizenship"	"migr_acqn"	"folder"	" "	" "	" "	" "	
"                    Residents who acquired citizenship as a share of resident non-citizens by former citizenship and sex"	"migr_acqs"	"dataset"	"02.04.2025"	"28.02.2025"	"2009"	"2023"	4162
"                    Acquisition of citizenship by age group, sex and former citizenship"	"migr_acq"	"dataset"	"05.05.2025"	"28.02.2025"	"1998"	"2023"	12255295
"                        Acquisition of citizenship"	"tps00024"	"table"	"05.05.2025"	"28.02.2025"	"2012"	"2023"	786
"                    Acquisition of citizenship by age group, sex and level of human development of former citizenship"	"migr_acq1ctz"	"dataset"	"05.05.2025"	"28.02.2025"	"2013"	"2023"	518965
"                    Loss of citizenship by sex and new citizenship"	"migr_lct"	"dataset"	"28.02.2025"	"28.02.2025"	"2008"	"2023"	135775
"            Asylum"	"migr_asy"	"folder"	" "	" "	" "	" "	
"                Asylum and temporary protection indicators"	"migr_asyltpind"	"folder"	" "	" "	" "	" "	
"                    Asylum indicators"	"migr_asyind"	"folder"	" "	" "	" "	" "	
"                        First-time asylum applicants - per thousand persons"	"migr_asyapp1mp"	"dataset"	"01.09.2025"	"20.03.2025"	"2008"	"2024"	485
"                        First-time asylum applicants - per hundred thousand persons, monthly data"	"migr_asyapp1mpm"	"dataset"	"23.10.2025"	"13.10.2025"	"2008-01"	"2025-07"	11754
"                        First-time asylum applicants - % of total asylum applicants"	"migr_asyapp1pc"	"dataset"	"01.09.2025"	"20.03.2025"	"2008"	"2024"	485
"                        First-time asylum applications of unaccompanied minors - % of total first-time asylum applications of minors"	"migr_asyapp1up"	"dataset"	"01.09.2025"	"05.06.2025"	"2021"	"2024"	114
"                        Positive first instance decisions - per thousand persons"	"migr_asydec1p"	"dataset"	"06.08.2025"	"25.04.2025"	"2008"	"2024"	535
"                        Asylum decisions at first instance by type of decision - % of total decisions at first instance"	"migr_asydec1pc"	"dataset"	"27.06.2025"	"27.06.2025"	"2008"	"2024"	72724
"                        Asylum decisions at final instance by type of decision  - % of total decisions at final instance"	"migr_asydecfp"	"dataset"	"27.06.2025"	"27.06.2025"	"2008"	"2024"	47560
"                    Temporary protection indicators"	"migr_asytpind"	"folder"	" "	" "	" "	" "	
"                        Beneficiaries of temporary protection by citizenship - per thousand persons"	"migr_asytpspop"	"dataset"	"10.10.2025"	"03.10.2025"	"2022-03"	"2025-08"	3978
"                        Decisions granting temporary protection by citizenship - per thousand persons"	"migr_asytpfpop"	"dataset"	"10.10.2025"	"03.10.2025"	"2022-03"	"2025-08"	3999
"                Temporary protection"	"migr_asytp"	"folder"	" "	" "	" "	" "	
"                    Temporary protection of unaccompanied minors"	"migr_asyumtp"	"folder"	" "	" "	" "	" "	
"                        Decisions granting temporary protection to unaccompanied minors by citizenship, age and sex - annual aggregated data"	"migr_asyumtpfa"	"dataset"	"01.10.2025"	"01.10.2025"	"2022"	"2024"	318098
"                        Decisions granting temporary protection to unaccompanied minors by citizenship, age and sex - quarterly data"	"migr_asyumtpfq"	"dataset"	"01.10.2025"	"01.10.2025"	"2022-Q1"	"2025-Q2"	1526146
"                        Decisions granting temporary protection to unaccompanied minors by citizenship, age and sex - monthly data"	"migr_asyumtpfm"	"dataset"	"27.10.2025"	"13.10.2025"	"2022-03"	"2025-09"	4663840
"                        Unaccompanied minors benefiting from temporary protection at the end of the month by citizenship, age and sex - monthly data"	"migr_asyumtpsm"	"dataset"	"27.10.2025"	"13.10.2025"	"2022-03"	"2025-09"	4591358
"                        Decisions withdrawing temporary protection to unaccompanied minors by citizenship and reason - quarterly data"	"migr_asyumtpwq"	"dataset"	"24.10.2025"	"06.10.2025"	"2022-Q1"	"2025-Q3"	454230
"                    Decisions granting temporary protection by citizenship, age and sex - annual aggregated data"	"migr_asytpfa"	"dataset"	"02.09.2025"	"31.01.2025"	"2022"	"2024"	596398
"                    Decisions granting temporary protection by citizenship, age and sex - quarterly data"	"migr_asytpfq"	"dataset"	"26.09.2025"	"07.08.2025"	"2022-Q1"	"2025-Q2"	2812958
"                    Decisions granting temporary protection by citizenship, age and sex - monthly data"	"migr_asytpfm"	"dataset"	"27.10.2025"	"13.10.2025"	"2022-03"	"2025-09"	8545358
